LT_um,P_W,V_mm_s,H_um,Cost,Carbon,Efficiency,RD,Method
120,393.13985314674505,730.1608087730943,115.0,3.97598782387834,0.08715619918502802,10.076219161068702,99.50055781874147,NSGA-II
120,392.77470399904547,730.094754130075,114.99883462751018,3.972336721209033,0.0871595664825218,10.075205507114063,99.50012012399166,NSGA-II
120,392.6929427607551,729.944856292474,114.93565503497527,3.971523238326083,0.08722416659236634,10.067602823686366,99.50035371856637,NSGA-II
120,392.3019236773326,729.5356876417476,114.99563075307503,3.9676118560758864,0.08722178242280401,10.067209986868932,99.50019738587126,NSGA-II
120,392.2216385113351,729.2437891022892,114.99993917848039,3.966810220493372,0.08725223287224557,10.06355896716574,99.500468899584,NSGA-II
120,391.8169440093782,729.1325068850293,114.99683252364196,3.9627639944181023,0.08726191183231084,10.061751453816111,99.50001560978508,NSGA-II
120,391.46917531270634,728.6794062393091,114.97878323911263,3.959289528375644,0.08732471526043896,10.053920580095378,99.50014409613719,NSGA-II
120,391.03180214795725,728.0396322954715,115.0,3.954917844421883,0.08737883277554849,10.046946925677506,99.50029026633449,NSGA-II
120,390.9321068308161,728.145801327635,114.96159043621711,3.9539224263184014,0.08739380081704279,10.045055926809441,99.50007250528877,NSGA-II
120,390.931986712239,727.5875946007732,115.0,3.953921947727457,0.08743163068733498,10.04070880549067,99.5007509733249,NSGA-II
120,390.91369622609704,727.4670111734894,115.0,3.953739645915686,0.08744584961403985,10.039044754194153,99.50088653252348,NSGA-II
120,390.6764170799149,727.4473968498727,115.0,3.951366952579173,0.08744468529166183,10.038774076528243,99.50053647398167,NSGA-II
120,390.33668554829023,727.4359432546855,114.99982922480419,3.9479697037519914,0.08744114922749124,10.038601109552781,99.50000546980223,NSGA-II
120,390.1819844496183,726.9988109384085,115.0,3.9464248728900975,0.08749129108318937,10.032583590950036,99.50035125291006,NSGA-II
120,390.16575036917004,726.9623701977499,115.0,3.9462627147954747,0.08749543504827675,10.03208070872895,99.50037452330633,NSGA-II
120,390.02526352158435,726.9502535177088,114.99747218883245,3.9448580431365894,0.08749672958704056,10.031692987388091,99.50016676064479,NSGA-II
120,389.92265176422865,726.6523257929596,115.0,3.943833284533224,0.08752914965600916,10.027802095942842,99.50039919091789,NSGA-II
120,389.8801794733139,726.6212848753777,115.0,3.9434087175099477,0.08753225721135816,10.027373731280212,99.50037156550549,NSGA-II
120,389.5320834527002,726.1895430544309,115.0,3.939929927833468,0.08757911475887825,10.021415694151148,99.50038207244069,NSGA-II
120,389.42308779553804,725.7826518573119,115.0,3.9388420208672192,0.08762658516901871,10.015800595630905,99.50075232129716,NSGA-II
120,389.16126052250314,725.628061871651,115.0,3.936224527863719,0.087641354810798,10.013667253828784,99.50052173463429,NSGA-II
120,389.0147275277453,725.4477404439214,115.0,3.9347601081394687,0.08766095540613872,10.011178818126114,99.50051781538616,NSGA-II
120,388.99139002236603,725.0456138525814,115.0,3.934528765694468,0.0877092196114512,10.005629471165623,99.50102162478755,NSGA-II
120,388.93908741351646,724.9908286944019,115.0,3.934006016821089,0.08771506762432858,10.004873435982745,99.50100673095315,NSGA-II
120,388.716709143299,724.9055406016392,114.9742494042951,3.931784056026477,0.08774171810804321,10.00145645036259,99.50079473666817,NSGA-II
120,388.66036235789613,724.7207615855039,114.99991901333904,3.9312201382240177,0.08774365918848147,10.0011394667542,99.5008949381677,NSGA-II
120,388.3919049956047,724.597934531445,115.0,3.928536182780214,0.08775446850543157,9.999451496533942,99.50059703606749,NSGA-II
120,388.2420845873606,724.2774069434217,115.0,3.9270396049797722,0.08779106506057321,9.99502821581922,99.50076826543916,NSGA-II
120,388.0385315921981,724.2750607144421,114.99729716179463,3.9250042329580372,0.0877903779889994,9.994760926062666,99.50042056166616,NSGA-II
120,387.8824194069105,724.0234851827521,114.99999862673472,3.9234442433164074,0.08781648726896488,9.991523976208821,99.50047886763275,NSGA-II
120,387.83807699033804,723.9390491358874,115.0,3.923001248398223,0.08782606581435153,9.990358878075247,99.5005140808731,NSGA-II
120,387.65344853194995,723.7050091184958,114.9728983729498,3.9211576202816723,0.08787241501996408,9.984775495845062,99.50055448463341,NSGA-II
120,387.6254933375947,723.5583970260423,114.9899658454873,3.9208778920783347,0.08787675725239011,9.984234643348817,99.5006678357129,NSGA-II
120,387.364977414302,723.4622400531905,115.0,3.918272680186736,0.08787688000213706,9.983778912734028,99.50031103118653,NSGA-II
120,387.2586208308893,723.0709784209264,115.0,3.9172111103944864,0.08792283617151168,9.978379502208783,99.50064417909344,NSGA-II
120,387.1819177956892,723.3195173153231,114.92278681391085,3.9164469912293876,0.08795052768060341,9.975107362412372,99.50032285700344,NSGA-II
120,387.04645965402364,722.4592893235673,114.99996074525798,3.915092628620239,0.08799412696246779,9.969934789470866,99.5010774403524,NSGA-II
120,386.49719862168695,722.3543783155857,114.99659888683648,3.9096007377587734,0.08800126730182573,9.968195603676905,99.50021850665426,NSGA-II
120,386.47242394704244,721.9604257379198,114.9999987697437,3.9093548270368097,0.0880463068765629,9.963053768599728,99.50069151677059,NSGA-II
120,386.439476084412,721.9310740922081,115.0,3.9090254990074564,0.08804939236828524,9.96264882247247,99.50066966447157,NSGA-II
120,386.13609134384944,721.4938721587602,115.0,3.905993898224314,0.08809819967515621,9.95661543579089,99.50068682296049,NSGA-II
120,386.04452632873654,721.3863460051504,115.0,3.9050788013125763,0.08810995879319648,9.955131574871075,99.50065829946172,NSGA-II
120,385.9839771904536,721.2655470193681,114.98767180672804,3.904474600637349,0.08813325379128298,9.952397520739593,99.50072749637795,NSGA-II
120,385.63224047218415,721.180269941645,115.0,3.9009570038163184,0.08812895995263917,9.952287725194699,99.50015408822142,NSGA-II
120,385.32515030977083,720.6570033270355,115.0,3.8978888010306165,0.08818834001405698,9.945066645913089,99.50026170919021,NSGA-II
120,385.0,720.4029699379879,114.9794525960368,3.894639726708939,0.08823032204745411,9.93978469584348,99.50000778708622,NSGA-II
